Name,Price,Descriptions
Жакет со льном ELIS,"
                9 999 ₽            ","Однобортный жакет светло-голубого оттенка выполнен из фирменного смесового льна. Лёгкий материал не позволит коже перегреться в жару и не деформируется со временем. Модель прямого силуэта, со стояче-отложным воротником с лацканами, втачным рукавом 3/4, центральной застёжкой на три пуговицы и накладным карманом на груди. С брюками из той же коллекции составят однотонный тотал-лук в стиле смарт кэжуал."
Брюки прямые со льном ELIS,"
                6 999 ₽            ","Актуальные брюки светло цвета выполнены из фирменного смесового льна. Лёгкий материал не позволит коже перегреться в жару и не деформируется со временем. Модель прямого кроя, с притачным поясом со шлевками под ремень, французскими карманами и моделирующими вытачками сзади. С однобортным жакетом из того же материала составят однотонный тотал-лук в стиле смарт кэжуал."
Легкая ветровка ELIS,"
                7 999 ₽            ","Актуальная ветровка с воротником рубашечного типа деликатного пудрового оттенка выполнена из невесомого материала. Модифицированная вискоза мягкая, приятная к телу и обладает повышенной прочностью. Модель прямого силуэта, со спущенной линией плеча и проймой, длинным втачным рукавом с манжетом на резинке, центральной застёжкой на металлическую тесьму-молнию и накладными карманами на груди. Комфортная резинка по низу изделия обеспечивает удобную посадку по фигуре. Дополнит городской образ любой сложности."
Брюки из хлопка с тесьмой ELIS,"
                6 999 ₽            ","Лаконичные брюки пыльно-розового оттенка с декоративным поясом-тесьмой. Выполнены из плотного хлопкового полотна премиального качества, дышащий материал эластичный и приятный к коже. Модель прямого силуэта, слегка укороченная. Обтачной пояс со шлевками под ремень сзади присборен на резинку, что обеспечивает комфортную посадку. Образ можно дополнить базовой футболкой или легким топом."
Платье-миди из хлопка ELIS,"
                7 999 ₽            ","Элегантное платье-миди насыщенного синего цвета. Выполнено из невесомого дышащего полотна из хлопка премиального качества. Модель А-силуэта, с неглубоким V-образным вырезом и бретелями с легкими сборками, декорированными монилью. Широкий пояс-лента из основного материала подчеркивает талию и создает объёмные струящиеся драпировки. Образ можно дополнить открытыми босоножками, мюлями или классическими лодочками."
Рубашка льняная ELIS,"
                7 499 ₽            ","Рубашка свободного кроя с отложным воротником и длинными рукавами с манжетом. Модель изготовлена из мягкой 100% натуральной льняной ткани тонкого плетения. Застегивается планку с пуговицами, по бокам декоративные разрезы. Грудь украшает широкий накладной карман. На спинке кокетка с защипом для идеальной посадки в плечах. Модель сочетается с трикотажными облегающими топами, свободными брюками или джинсами."
Рубашка льняная ELIS,"
                7 499 ₽            ","Рубашка свободного кроя с отложным воротником и длинными рукавами с манжетом. Модель изготовлена из мягкой 100% натуральной льняной ткани тонкого плетения голубого цвета. Застегивается на планку с пуговицами, по бокам декоративные разрезы. Грудь украшает широкий накладной карман. На спинке кокетка с защипом для идеальной посадки в плечах. Модель сочетается с трикотажными облегающими топами, свободными брюками или джинсами."
Брюки из хлопка и льна ELIS,"
                5 999 ₽            ","Лаконичные брюки голубого цвета с легким авторским принтом ""клетка тартан"" в цвет изделию. Выполнены из мягкого материала на основе дышащего хлопка и натуральных льняных волокон, придающих ткани неповторимую текстуру. Модель прямого силуэта, с притачным поясом со шлевками под ремень и боковыми карманами с отрезным бочком, сзади по поясу резинка. Графичные стрелки выстраивают вертикаль визуально вытягивающую силуэт. Универсальные брюки отлично впишутся в повседневный гардероб."
Футболка с принтом из хлопка ELIS,"
                3 499 ₽            ","Базовая футболка универсального белого цвета с дизайнерским принтом на груди. Выполнена из фирменного хлопкового трикотажа премиального качества. Модель прямого силуэта, с коротким цельнокроеным рукавом с отворотом и круглой горловиной, обработанной бейкой. Лёгкая футболка удачно впишется в повседневный гардероб."
Юбка из хлопка и льна ELIS,"
                5 999 ₽            ","Юбка с имитацией запаха голубого цвета с легким авторским принтом ""клетка тартан"" в цвет изделию. Выполнена из легкого материала на основе дышащего хлопка и натуральных льняных волокон, придающих ткани неповторимую текстуру. Модель прямого силуэта, с обтачным поясом, рельефом и декоративными пуговицами спереди и моделирующими вытачками сзади. Универсальная юбка отлично впишется в повседневный гардероб."
Платье с флористическим принтом ELIS,"
                8 999 ₽            ","Элегантное платье-миди с дизайнерским принтом с флористическим паттерном. Выполнено из лёгкого вискозного полотна с добавлением нейлона, отвечающего за несковывающую движений посадку. Модель прямого силуэта, без рукавов, с круглой горловиной и разрезом по среднему шву сзади. Пояс-тесьма из основного материала подчеркивает талию и формирует утонченный силуэт. Образ можно дополнить открытыми босоножками или мюлями на каблуке."
